0,Area de Atuacao,Generalized Area
0.0,,Não Definido
1.0,Administrativa,Administrativo/Negócios
2.0,Comercial,Comercial/Vendas/Marketing
3.0,Financeira/Controladoria,Administrativo/Negócios
4.0,"Administrativa, Comercial, Financeira/Controladoria",Não TI - Multidisciplinar
5.0,"TI - Arquitetura, TI - Infraestrutura, TI - Projetos",TI - Multidisciplinar
6.0,TI - Infraestrutura,TI - Infraestrutura/Suporte
7.0,TI - Desenvolvimento/Programação,TI - Desenvolvimento
8.0,TI - Suporte,TI - Infraestrutura/Suporte
9.0,"Administrativa, Financeira/Controladoria, Recursos Humanos",Não TI - Multidisciplinar
10.0,TI - Projetos,TI - Gestão/Projetos
11.0,Recursos Humanos,Recursos Humanos
12.0,"Administrativa, Comercial",Não TI - Multidisciplinar
13.0,TI - Governança,TI - Gestão/Projetos
14.0,TI - Processos e Negócios,TI - Gestão/Projetos
15.0,TI - Sistemas e Ferramentas,TI - Infraestrutura/Suporte
16.0,TI - SAP,TI - SAP
17.0,TI - Banco de Dados,TI - Dados
18.0,"TI - Banco de Dados, TI - Processos e Negócios, TI - Projetos, TI - Sistemas e Ferramentas, TI - Suporte",TI - Multidisciplinar
19.0,TI - Qualidade/Testes,TI - Qualidade/Testes
20.0,"Administrativa, Comercial, Financeira/Controladoria, Gestão e Alocação de Recursos de TI, Recursos Humanos, Relacionamento Técnico, TI - Banco de Dados, TI - SAP",TI - Multidisciplinar
21.0,"Relacionamento Técnico, TI - Infraestrutura, TI - Qualidade/Testes, TI - Sistemas e Ferramentas, TI - Suporte",TI - Multidisciplinar
22.0,"Administrativa, Comercial, Financeira/Controladoria, Gestão e Alocação de Recursos de TI, Recursos Humanos",TI - Gestão/Projetos
23.0,TI - Telecom,TI - Infraestrutura/Suporte
24.0,Marketing,Comercial/Vendas/Marketing
25.0,"TI - Infraestrutura, TI - Sistemas e Ferramentas, TI - Suporte",TI - Infraestrutura/Suporte
26.0,TI - Desenvolvimento/Mobile,TI - Desenvolvimento
27.0,"Administrativa, Financeira/Controladoria, Gestão e Alocação de Recursos de TI, TI - Sistemas e Ferramentas, TI - Suporte",TI - Multidisciplinar
28.0,TI - Desenvolvimento/Design,TI - Desenvolvimento
29.0,"TI - Processos e Negócios, TI - Projetos, TI - Qualidade/Testes",TI - Multidisciplinar
30.0,"Relacionamento Técnico, TI - Arquitetura, TI - Banco de Dados, TI - Governança, TI - Infraestrutura, TI - Processos e Negócios, TI - Projetos, TI - Qualidade/Testes, TI - Segurança da Informação, TI - Sistemas e Ferramentas, TI - Suporte",TI - Multidisciplinar
31.0,"TI - Infraestrutura, TI - Suporte",TI - Infraestrutura/Suporte
32.0,"Administrativa, Financeira/Controladoria",Administrativo/Negócios
33.0,"Administrativa, Comercial, Financeira/Controladoria, Novos Negócios e Parcerias, TI - Processos e Negócios",TI - Gestão/Projetos
34.0,"Administrativa, Gestão e Alocação de Recursos de TI",TI - Gestão/Projetos
35.0,"Administrativa, Recursos Humanos",Não TI - Multidisciplinar
36.0,Jurídica,Administrativo/Negócios
37.0,"TI - Infraestrutura, TI - Projetos, TI - Segurança da Informação, TI - Suporte, TI - Telecom",TI - Multidisciplinar
38.0,"TI - Infraestrutura, TI - SAP, TI - Suporte",TI - Multidisciplinar
39.0,"TI - Processos e Negócios, TI - Projetos, TI - SAP",TI - Multidisciplinar
40.0,"TI - Arquitetura, TI - Banco de Dados, TI - Desenvolvimento/Design, TI - Desenvolvimento/Mobile, TI - Desenvolvimento/Programação, TI - Processos e Negócios, TI - Projetos, TI - Segurança da Informação, TI - Sistemas e Ferramentas, TI - Suporte",TI - Multidisciplinar
41.0,"Administrativa, TI - Projetos, TI - SAP",TI - Multidisciplinar
42.0,"Novos Negócios e Parcerias, TI - Processos e Negócios, TI - Projetos",TI - Gestão/Projetos
43.0,"TI - Arquitetura, TI - Banco de Dados, TI - Infraestrutura, TI - Processos e Negócios, TI - Projetos, TI - Qualidade/Testes, TI - Segurança da Informação, TI - Sistemas e Ferramentas, TI - Suporte",TI - Multidisciplinar
44.0,Relacionamento Técnico,Comercial/Vendas/Marketing
45.0,"Gestão e Alocação de Recursos de TI, Relacionamento Técnico, TI - Infraestrutura, TI - Projetos, TI - Sistemas e Ferramentas, TI - Suporte",TI - Multidisciplinar
46.0,"Administrativa, Comercial, Recursos Humanos",Não TI - Multidisciplinar
47.0,"TI - Banco de Dados, TI - Sistemas e Ferramentas",TI - Multidisciplinar
48.0,"Administrativa, Comercial, Financeira/Controladoria, Qualidade Corporativa",Não TI - Multidisciplinar
49.0,"TI - Governança, TI - Infraestrutura, TI - Processos e Negócios, TI - Segurança da Informação, TI - Suporte, TI - Telecom",TI - Multidisciplinar
50.0,"Administrativa, Comercial, TI - SAP, TI - Suporte",TI - Multidisciplinar
51.0,"Administrativa, Comercial, TI - SAP",TI - SAP
52.0,"TI - Processos e Negócios, TI - Projetos",TI - Gestão/Projetos
53.0,"Marketing, Recursos Humanos",Não TI - Multidisciplinar
54.0,"Administrativa, Comercial, Recursos Humanos, Relacionamento Técnico",Não TI - Multidisciplinar
55.0,"Administrativa, Gestão e Alocação de Recursos de TI, Novos Negócios e Parcerias, Relacionamento Técnico",TI - Gestão/Projetos
56.0,"Administrativa, Financeira/Controladoria, Qualidade Corporativa, TI - Processos e Negócios",TI - Gestão/Projetos
57.0,TI - Segurança da Informação,TI - Segurança
58.0,"Administrativa, Comercial, Financeira/Controladoria, Gestão e Alocação de Recursos de TI, Marketing, Qualidade Corporativa, Recursos Humanos",TI - Gestão/Projetos
59.0,"Administrativa, Comercial, Novos Negócios e Parcerias, Qualidade Corporativa, Relacionamento Técnico",Não TI - Multidisciplinar
60.0,"TI - Infraestrutura, TI - Segurança da Informação, TI - Suporte, TI - Telecom",TI - Multidisciplinar
61.0,"TI - Governança, TI - Processos e Negócios, TI - Projetos, TI - SAP, TI - Segurança da Informação, TI - Suporte",TI - Multidisciplinar
62.0,"Qualidade Corporativa, Relacionamento Técnico, TI - Arquitetura, TI - Banco de Dados, TI - Desenvolvimento/Programação, TI - Governança, TI - Processos e Negócios, TI - Projetos, TI - Qualidade/Testes, TI - Sistemas e Ferramentas, TI - Suporte",TI - Multidisciplinar
63.0,"Administrativa, TI - Processos e Negócios, TI - Projetos",TI - Gestão/Projetos
64.0,"Financeira/Controladoria, TI - SAP",TI - SAP
65.0,"Administrativa, Marketing, TI - Banco de Dados, TI - Governança",TI - Multidisciplinar
66.0,"TI - Arquitetura, TI - Banco de Dados, TI - Desenvolvimento/Design, TI - Desenvolvimento/Programação, TI - Infraestrutura, TI - Processos e Negócios",TI - Multidisciplinar
67.0,"TI - Arquitetura, TI - Telecom",TI - Multidisciplinar
68.0,"TI - Banco de Dados, TI - Desenvolvimento/Design, TI - Desenvolvimento/Mobile, TI - Desenvolvimento/Programação, TI - Suporte",TI - Multidisciplinar
69.0,"Administrativa, Comercial, Marketing",Não TI - Multidisciplinar
70.0,"Administrativa, Recursos Humanos, TI - Desenvolvimento/Programação, TI - Suporte",TI - Multidisciplinar
71.0,"TI - Processos e Negócios, TI - Projetos, TI - Suporte",TI - Multidisciplinar
72.0,Gestão e Alocação de Recursos de TI,TI - Gestão/Projetos
73.0,"Administrativa, Recursos Humanos, TI - Desenvolvimento/Programação",TI - Desenvolvimento
74.0,"Financeira/Controladoria, Novos Negócios e Parcerias",Não TI - Multidisciplinar
75.0,"TI - Arquitetura, TI - Banco de Dados, TI - Desenvolvimento/Mobile, TI - Governança, TI - Infraestrutura, TI - Projetos, TI - Segurança da Informação",TI - Multidisciplinar
