id_vaga,areas_atuacao,grupo
5185,TI - Sistemas e Ferramentas-,TI - Multidisciplinar
5184,TI - Desenvolvimento/Programação-,TI - Desenvolvimento
5183,TI - Sistemas e Ferramentas-,TI - Multidisciplinar
5182,TI - Projetos-,TI - Gestão/Projetos
5181,TI - SAP-,TI - SAP
5180,TI - Desenvolvimento/Programação-,TI - Desenvolvimento
5179,TI - SAP-,TI - SAP
5178,TI - SAP-,TI - SAP
5177,TI - SAP-,TI - SAP
5176,TI - SAP-,TI - SAP
5175,TI - SAP-,TI - SAP
5174,TI - SAP-,TI - SAP
5173,TI - SAP-,TI - SAP
5172,TI - SAP-,TI - SAP
5171,TI - SAP-,TI - SAP
5170,TI - SAP-,TI - SAP
5169,TI - SAP-,TI - SAP
5168,TI - SAP-,TI - SAP
5167,TI - SAP-,TI - SAP
5166,TI - Projetos-,TI - Gestão/Projetos
5165,TI - Projetos-,TI - Gestão/Projetos
5164,TI - Projetos-,TI - Gestão/Projetos
5163,TI - Projetos-,TI - Gestão/Projetos
5162,TI - Projetos-,TI - Gestão/Projetos
5161,TI - Projetos-,TI - Gestão/Projetos
5160,TI - Projetos-,TI - Gestão/Projetos
5159,TI - Projetos-,TI - Gestão/Projetos
5158,TI - Projetos-,TI - Gestão/Projetos
5157,TI - Projetos-,TI - Gestão/Projetos
5156,TI - Projetos-,TI - Gestão/Projetos
5155,TI - Projetos-,TI - Gestão/Projetos
5154,TI - Projetos-,TI - Gestão/Projetos
5153,TI - Projetos-,TI - Gestão/Projetos
5152,TI - Projetos-,TI - Gestão/Projetos
5151,TI - Projetos-,TI - Gestão/Projetos
5150,TI - Projetos-,TI - Gestão/Projetos
5149,TI - Projetos-,TI - Gestão/Projetos
5148,TI - Projetos-,TI - Gestão/Projetos
5147,TI - Projetos-,TI - Gestão/Projetos
5146,TI - Projetos-,TI - Gestão/Projetos
5145,TI - Projetos-,TI - Gestão/Projetos
5144,TI - Projetos-,TI - Gestão/Projetos
5143,TI - Projetos-,TI - Gestão/Projetos
5142,TI - Projetos-,TI - Gestão/Projetos
5141,TI - Projetos-,TI - Gestão/Projetos
5140,TI - Projetos-,TI - Gestão/Projetos
5139,TI - Infraestrutura-,TI - Infraestrutura/Suporte
5138,TI - Projetos-,TI - Gestão/Projetos
5137,Gestão e Alocação de Recursos de TI-,TI - Multidisciplinar
5136,Gestão e Alocação de Recursos de TI-,TI - Multidisciplinar
5135,Gestão e Alocação de Recursos de TI-,TI - Multidisciplinar
5134,TI - Projetos-,TI - Gestão/Projetos
5133,TI - Projetos-,TI - Gestão/Projetos
5132,TI - Projetos-,TI - Gestão/Projetos
5131,TI - Projetos-,TI - Gestão/Projetos
5130,TI - Projetos-,TI - Gestão/Projetos
5129,TI - Desenvolvimento/Programação-,TI - Desenvolvimento
5128,Gestão e Alocação de Recursos de TI-,TI - Multidisciplinar
5127,Gestão e Alocação de Recursos de TI-,TI - Multidisciplinar
5126,TI - Projetos-,TI - Gestão/Projetos
5125,Gestão e Alocação de Recursos de TI-,TI - Multidisciplinar
5124,Gestão e Alocação de Recursos de TI-,TI - Multidisciplinar
5123,Gestão e Alocação de Recursos de TI-,TI - Multidisciplinar
5122,Gestão e Alocação de Recursos de TI-,TI - Multidisciplinar
5121,Gestão e Alocação de Recursos de TI-,TI - Multidisciplinar
5120,Gestão e Alocação de Recursos de TI-,TI - Multidisciplinar
5119,Gestão e Alocação de Recursos de TI-,TI - Multidisciplinar
5118,Gestão e Alocação de Recursos de TI-,TI - Multidisciplinar
5117,Gestão e Alocação de Recursos de TI-,TI - Multidisciplinar
5116,Gestão e Alocação de Recursos de TI-,TI - Multidisciplinar
5115,TI - Projetos-,TI - Gestão/Projetos
5114,Administrativa-,TI - Multidisciplinar
5113,TI - Desenvolvimento/Programação-,TI - Desenvolvimento
5112,TI - SAP-,TI - SAP
5111,TI - SAP-,TI - SAP
5110,TI - SAP-,TI - SAP
5109,TI - SAP-,TI - SAP
5108,TI - SAP-,TI - SAP
5107,TI - Projetos-,TI - Gestão/Projetos
5106,TI - Projetos-,TI - Gestão/Projetos
5105,TI - Projetos-,TI - Gestão/Projetos
5104,TI - Projetos-,TI - Gestão/Projetos
5103,TI - Projetos-,TI - Gestão/Projetos
5102,Gestão e Alocação de Recursos de TI-,TI - Multidisciplinar
5101,TI - Projetos-,TI - Gestão/Projetos
5100,TI - Projetos-,TI - Gestão/Projetos
5099,Gestão e Alocação de Recursos de TI-,TI - Multidisciplinar
5098,TI - Projetos-,TI - Gestão/Projetos
5097,Gestão e Alocação de Recursos de TI-,TI - Multidisciplinar
5096,Gestão e Alocação de Recursos de TI-,TI - Multidisciplinar
5095,Gestão e Alocação de Recursos de TI-,TI - Multidisciplinar
5094,TI - Sistemas e Ferramentas-,TI - Multidisciplinar
5093,TI - SAP-,TI - SAP
5092,Gestão e Alocação de Recursos de TI-,TI - Multidisciplinar
5091,TI - Projetos-,TI - Gestão/Projetos
5090,TI - Projetos-,TI - Gestão/Projetos
5089,TI - Projetos-,TI - Gestão/Projetos
5088,TI - Processos e Negócios-,TI - Multidisciplinar
5087,TI - Projetos-,TI - Gestão/Projetos
5086,TI - Projetos-,TI - Gestão/Projetos
5085,TI - SAP-,TI - SAP
5084,Gestão e Alocação de Recursos de TI-,TI - Multidisciplinar
5083,TI - Infraestrutura-,TI - Infraestrutura/Suporte
5082,TI - SAP-,TI - SAP
5081,TI - SAP-,TI - SAP
5080,TI - Projetos-,TI - Gestão/Projetos
5079,TI - Projetos-,TI - Gestão/Projetos
5078,TI - Projetos-,TI - Gestão/Projetos
5077,TI - Projetos-,TI - Gestão/Projetos
5076,TI - Projetos-,TI - Gestão/Projetos
5075,TI - Projetos-,TI - Gestão/Projetos
5074,TI - Projetos-,TI - Gestão/Projetos
5073,Recursos Humanos-,Recursos Humanos
5072,TI - Projetos-,TI - Gestão/Projetos
5071,TI - Projetos-,TI - Gestão/Projetos
5070,TI - Projetos-,TI - Gestão/Projetos
5069,TI - SAP-,TI - SAP
5068,TI - Projetos-,TI - Gestão/Projetos
5067,TI - Projetos-,TI - Gestão/Projetos
5066,TI - Projetos-,TI - Gestão/Projetos
5065,Gestão e Alocação de Recursos de TI-,TI - Multidisciplinar
5064,TI - Projetos-,TI - Gestão/Projetos
5063,TI - SAP-,TI - SAP
5062,TI - Projetos-,TI - Gestão/Projetos
5061,TI - SAP-,TI - SAP
5060,TI - SAP-,TI - SAP
